App,Installs,Rating,Reviews,Price,Size,Genres,Category,Content Rating,Last Updated,Current Ver,Android Ver,Type,Date,Month
Jelly Dye,"1,000,000+",4.2,3010.0,0.0,Varies with device,Simulation,GAME_SIMULATION,Everyone,2021-02-04,1.49,5.0 and up,Free,2021-02-04,2.0
Solar Smash,"10,000,000+",4.6,99185.0,0.0,83M,Simulation,GAME_SIMULATION,Everyone 10+,2020-01-19,1.4.1,4.4W and up,Free,2020-01-19,1.0
Comics Bob,"5,000,000+",3.8,10227.0,0.0,81M,Puzzle,GAME_PUZZLE,Teen,2020-10-27,1.1.0,5.0 and up,Free,2020-10-27,10.0
Draw Puzzle - Draw one part,"5,000,000+",4.3,8889.0,0.0,47M,Puzzle,GAME_PUZZLE,Everyone,2020-12-24,1.0.29,4.4 and up,Free,2020-12-24,12.0
Among Us,"100,000,000+",3.8,5620232.0,0.0,102M,Action,GAME_ACTION,Everyone 10+,2018-06-15,2021.3.9,4.4 and up,Free,2018-06-15,6.0
Roblox,"100,000,000+",4.5,12640551.0,0.0,97M,Adventure,GAME_ADVENTURE,Everyone 10+,2014-07-15,2.470.419211,4.4 and up,Free,2014-07-15,7.0
High Heels!,"10,000,000+",4.0,43639.0,0.0,51M,Action,GAME_ACTION,Everyone,2021-01-18,1.2.3,4.4 and up,Free,2021-01-18,1.0
Project Makeover,"10,000,000+",4.0,78872.0,0.0,195M,Casual,GAME_CASUAL,Everyone,2020-11-15,2.8.1,4.4 and up,Free,2020-11-15,11.0
Join Clash 3D,"100,000,000+",4.1,302389.0,0.0,61M,Arcade,GAME_ARCADE,Everyone,2019-12-12,2.21.5,5.0 and up,Free,2019-12-12,12.0
Pencil Rush 3D,"10,000,000+",4.1,9752.0,0.0,88M,Casual,GAME_CASUAL,Everyone,2021-01-06,0.8.2,5.0 and up,Free,2021-01-06,1.0
Girl Genius!,"10,000,000+",3.7,28723.0,0.0,48M,Puzzle,GAME_PUZZLE,Teen,2021-01-28,1.0.9,4.4 and up,Free,2021-01-28,1.0
Magic Tiles 3,"100,000,000+",4.1,1025589.0,0.0,Varies with device,Music,GAME_MUSIC,Everyone,2017-02-24,8.022.004,4.4 and up,Free,2017-02-24,2.0
Water Sort Puzzle,"50,000,000+",3.9,53245.0,0.0,43M,Puzzle,GAME_PUZZLE,Everyone,2020-06-24,3.0.0,4.4 and up,Free,2020-06-24,6.0
Giant Rush!,"10,000,000+",4.2,24919.0,0.0,61M,Action,GAME_ACTION,Teen,2020-12-29,1.2.8,5.0 and up,Free,2020-12-29,12.0
Chat Master!,"10,000,000+",3.7,46947.0,0.0,52M,Casual,GAME_CASUAL,Teen,2020-10-12,2.2,5.0 and up,Free,2020-10-12,10.0
DOP 2: Delete One Part,"50,000,000+",4.0,122894.0,0.0,120M,Puzzle,GAME_PUZZLE,Teen,2020-12-10,1.0.9,5.0 and up,Free,2020-12-10,12.0
Subway Surfers,"1,000,000,000+",4.4,12118432.0,0.0,187M,Arcade,GAME_ARCADE,Everyone 10+,2012-09-20,2.14.0,4.4 and up,Free,2012-09-20,9.0
Sculpt people,"10,000,000+",3.5,24646.0,0.0,114M,Simulation,GAME_SIMULATION,Everyone,2020-10-19,1.7.2,4.4 and up,Free,2020-10-19,10.0
Tiles Hop: EDM Rush!,"100,000,000+",4.3,1226437.0,0.0,79M,Music,GAME_MUSIC,Teen,2018-01-16,3.4.2,4.4 and up,Free,2018-01-16,1.0
Stacky Dash,"10,000,000+",3.5,30022.0,0.0,60M,Action,GAME_ACTION,Everyone,2020-12-10,2.3,6.0 and up,Free,2020-12-10,12.0
Lords Mobile: Kingdom Wars,"100,000,000+",4.3,2522396.0,0.0,80M,Strategy,GAME_STRATEGY,Everyone 10+,2016-03-21,2.43,4.0.3 and up,Free,2016-03-21,3.0
Coin Master,"100,000,000+",4.4,2261518.0,0.0,Varies with device,Casual,GAME_CASUAL,Teen,2016-02-04,3.5.274,4.4 and up,Free,2016-02-04,2.0
Candy Crush Saga,"1,000,000,000+",4.6,9349147.0,0.0,Varies with device,Casual,GAME_CASUAL,Everyone,2012-11-15,1.198.0.2,4.1 and up,Free,2012-11-15,11.0
Pokémon GO,"100,000,000+",4.1,5815118.0,0.0,Varies with device,Adventure,GAME_ADVENTURE,Everyone,2016-07-06,0.203.1,6.0 and up,Free,2016-07-06,7.0
Garena Free Fire - The Cobra,"500,000,000+",4.3,48120002.0,0.0,Varies with device,Action,GAME_ACTION,Mature 17+,2017-12-07,1.59.5,4.1 and up,Free,2017-12-07,12.0
State of Survival: Survive the Zombie Apocalypse,"50,000,000+",4.4,555911.0,0.0,138M,Strategy,GAME_STRATEGY,Teen,2019-08-26,1.10.20,4.1 and up,Free,2019-08-26,8.0
Bingo Blitz™️ - Bingo Games,"10,000,000+",4.6,241860.0,0.0,Varies with device,Board,GAME_BOARD,Teen,2012-09-14,4.62.0,Varies with device,Free,2012-09-14,9.0
Homescapes,"100,000,000+",4.3,3270119.0,0.0,148M,Casual,GAME_CASUAL,Everyone,2017-09-19,4.4.4,4.2 and up,Free,2017-09-19,9.0
RAID: Shadow Legends,"10,000,000+",4.3,424088.0,0.0,150M,Role Playing,GAME_ROLE_PLAYING,Teen,2019-02-26,4.00.0,5.0 and up,Free,2019-02-26,2.0
Gardenscapes,"100,000,000+",4.4,321795.0,0.0,141M,Casual,GAME_CASUAL,Everyone,2016-08-24,5.1.0,4.2 and up,Free,2016-08-24,8.0
Fate/Grand Order (English),"1,000,000+",4.5,24820.0,0.0,71M,Role Playing,GAME_ROLE_PLAYING,Teen,2017-06-24,2.14.0,4.1 and up,Free,2017-06-24,6.0
Candy Crush Soda Saga,"100,000,000+",4.6,346847.0,0.0,Varies with device,Casual,GAME_CASUAL,Everyone,2014-11-11,1.188.3,4.1 and up,Free,2014-11-11,11.0
Empires & Puzzles: Epic Match 3,"50,000,000+",4.2,701381.0,0.0,110M,Puzzle,GAME_PUZZLE,Everyone 10+,2017-03-01,36.0.1,4.4 and up,Free,2017-03-01,3.0
Top War: Battle Game,"10,000,000+",4.2,94776.0,0.0,151M,Strategy,GAME_STRATEGY,Everyone 10+,2020-01-16,1.167.0,4.2 and up,Free,2020-01-16,1.0
Slotomania™ Free Slots: Casino Slot Machine Games,"50,000,000+",4.4,545702.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2012-01-26,6.25.0,4.1 and up,Free,2012-01-26,1.0
MARVEL Strike Force - Squad RPG,"10,000,000+",3.8,215394.0,0.0,132M,Role Playing,GAME_ROLE_PLAYING,Teen,2018-03-28,5.2.1,4.4 and up,Free,2018-03-28,3.0
Fishdom,"100,000,000+",4.4,1535318.0,0.0,136M,Puzzle,GAME_PUZZLE,Everyone,2016-03-02,5.57.0,4.2 and up,Free,2016-03-02,3.0
Toon Blast,"50,000,000+",4.6,935457.0,0.0,150M,Puzzle,GAME_PUZZLE,Everyone,2017-08-25,6631,4.4 and up,Free,2017-08-25,8.0
Jackpot Party Casino Games: Spin FREE Casino Slots,"10,000,000+",4.6,195802.0,0.0,119M,Casino,GAME_CASINO,Teen,2013-06-03,5019.02,4.1 and up,Free,2013-06-03,6.0
King of Avalon: Dominion,"50,000,000+",4.3,330197.0,0.0,354M,Strategy,GAME_STRATEGY,Everyone 10+,2016-05-18,10.6.0,5.0 and up,Free,2016-05-18,5.0
Township,"100,000,000+",4.2,2995296.0,0.0,147M,Casual,GAME_CASUAL,Everyone,2013-11-08,8.1.2,4.2 and up,Free,2013-11-08,11.0
Cash Frenzy™ Casino – Free Slots Games,"10,000,000+",4.6,283025.0,0.0,96M,Casino,GAME_CASINO,Teen,2019-01-12,1.91,4.4 and up,Free,2019-01-12,1.0
Call of Duty®: Mobile - Day of Reckoning,"100,000,000+",4.5,5910441.0,0.0,91M,Action,GAME_ACTION,Mature 17+,2019-09-30,1.0.20,4.3 and up,Free,2019-09-30,9.0
Rise of Kingdoms: Lost Crusade,"10,000,000+",4.2,697899.0,0.0,102M,Strategy,GAME_STRATEGY,Everyone 10+,2018-05-24,1.0.44.16,4.4 and up,Free,2018-05-24,5.0
POP! Slots ™- Free Vegas Casino Slot Machine Games,"10,000,000+",4.3,104573.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2016-07-17,Varies with device,Varies with device,Free,2016-07-17,7.0
Star Trek™ Fleet Command,"5,000,000+",4.1,75550.0,0.0,152M,Strategy,GAME_STRATEGY,Everyone,2018-11-28,1.000.14189,4.4 and up,Free,2018-11-28,11.0
Solitaire TriPeaks: Play Free Solitaire Card Games,"10,000,000+",4.4,153600.0,0.0,92M,Card,GAME_CARD,Everyone,2013-07-30,8.2.0.77876,5.0 and up,Free,2013-07-30,7.0
Puzzles & Survival,"5,000,000+",4.0,7691.0,0.0,138M,Role Playing,GAME_ROLE_PLAYING,Teen,2020-10-02,7.0.21,4.4 and up,Free,2020-10-02,10.0
Last Shelter: Survival,"10,000,000+",4.3,739301.0,0.0,Varies with device,Strategy,GAME_STRATEGY,Teen,2017-10-13,1.250.204,4.1 and up,Free,2017-10-13,10.0
PUBG MOBILE HUNDRED RHYTHMS,"100,000,000+",4.2,17350637.0,0.0,Varies with device,Action,GAME_ACTION,Teen,2018-03-19,1.3.0,Varies with device,Free,2018-03-19,3.0
Merge Dragons!,"10,000,000+",4.5,353176.0,0.0,139M,Puzzle,GAME_PUZZLE,Everyone,2017-07-26,5.7.0,4.1 and up,Free,2017-07-26,7.0
Cashman Casino: Casino Slots Machines! 2M Free!,"10,000,000+",4.4,117844.0,0.0,159M,Casino,GAME_CASINO,Teen,2016-11-21,2.37.102,5.0 and up,Free,2016-11-21,11.0
Guns of Glory: The Iron Mask,"50,000,000+",3.9,161865.0,0.0,443M,Strategy,GAME_STRATEGY,Everyone 10+,2017-09-08,6.8.0,5.0 and up,Free,2017-09-08,9.0
Solitaire Grand Harvest - Free Tripeaks Solitaire,"10,000,000+",4.5,249795.0,0.0,158M,Card,GAME_CARD,Everyone,2017-06-27,1.85.0,4.1 and up,Free,2017-06-27,6.0
Huuuge Casino Slots - Best Slot Machines,"10,000,000+",4.3,196064.0,0.0,100M,Casino,GAME_CASINO,Teen,2015-06-19,6.4.3006,4.1 and up,Free,2015-06-19,6.0
Lotsa Slots - Free Vegas Casino Slot Machines,"10,000,000+",4.6,88525.0,0.0,100M,Casino,GAME_CASINO,Teen,2017-10-22,4.01,4.4 and up,Free,2017-10-22,10.0
